上市编号,上市公司名,违纪类型,红头文件
600679,上海凤凰,监管工作函,NO SUCH FILE!
600527,江南高纤,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/5c4747fd-bf6e-4bf0-be9a-6948b998819c.pdf
603329,上海雅仕,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/23bee351-9f15-4cfc-81c9-e69a5cf037e6.pdf
603329,上海雅仕,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/f2a6a7a5-0fbb-45bf-9d3a-a226da5641ed.pdf
600097,开创国际,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/0dbbd9c3-cfd4-42b3-8f10-e29c0834f13d.pdf
603030,全筑股份,监管工作函,NO SUCH FILE!
600275,*ST昌鱼,监管工作函,NO SUCH FILE!
600748,上实发展,监管工作函,NO SUCH FILE!
600965,福成股份,监管工作函,NO SUCH FILE!
600719,大连热电,监管工作函,NO SUCH FILE!
600767,*ST运盛,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/ca5cd889-f335-4b60-99bf-4dd4d7fedc63.pdf
600079,人福医药,监管工作函,NO SUCH FILE!
600532,未来股份,监管工作函,NO SUCH FILE!
600145,退市新亿,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/25d9f4b3-488f-4031-b73f-3bd7bf3e0361.pdf
600145,退市新亿,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/25d9f4b3-488f-4031-b73f-3bd7bf3e0361.pdf
600145,退市新亿,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/25d9f4b3-488f-4031-b73f-3bd7bf3e0361.pdf
600090,*ST济堂,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/cfb44574-2047-44c6-abe0-db6e0652bf3c.pdf
600090,*ST济堂,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/cfb44574-2047-44c6-abe0-db6e0652bf3c.pdf
600090,*ST济堂,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/cfb44574-2047-44c6-abe0-db6e0652bf3c.pdf
603716,塞力医疗,监管工作函,NO SUCH FILE!
603018,华设集团,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/bde3af52-f5fa-455f-9bb2-11f0b55e670b.pdf
600653,申华控股,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/f3517640-06ca-4332-b89d-627f5889d10a.pdf
600666,*ST瑞德,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/57f93d69-c05d-4e53-9285-e2b3bc9b48d4.pdf
600666,*ST瑞德,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/57f93d69-c05d-4e53-9285-e2b3bc9b48d4.pdf
600666,*ST瑞德,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/57f93d69-c05d-4e53-9285-e2b3bc9b48d4.pdf
688056,莱伯泰科,监管工作函,NO SUCH FILE!
603729,ST龙韵,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/93d091be-d4cf-4081-81ae-dd9ee5308a07.pdf
600131,国网信通,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/421373c5-6ca6-42a8-ae67-e460abe2049d.pdf
600712,南宁百货,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/8f11e1b2-deeb-4fad-be8a-32bee5d5dc4e.pdf
600712,南宁百货,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/b9a783d3-630b-46f4-a8c7-b9ceee42bb5d.pdf
688555,泽达易盛,监管工作函,NO SUCH FILE!
601011,宝泰隆,监管工作函,NO SUCH FILE!
688500,慧辰股份,监管工作函,NO SUCH FILE!
600869,远东股份,监管工作函,NO SUCH FILE!
600695,*ST绿庭,监管工作函,NO SUCH FILE!
600463,空港股份,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/bf367823-97c8-493e-aba6-b407e419bfd1.pdf
601963,重庆银行,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/32c47e60-5ae8-4087-a913-ed0a6e1bd069.pdf
